city,state_id,state_name,lat,lng
South Creek,WA,Washington,46.9994,-122.3921
Roslyn,WA,Washington,47.2507,-121.0989
Sprague,WA,Washington,47.3048,-117.9713
Gig Harbor,WA,Washington,47.3352,-122.5968
Lake Cassidy,WA,Washington,48.0639,-122.092
Tenino,WA,Washington,46.8537,-122.8607
Jamestown,WA,Washington,48.1229,-123.0911
Three Lakes,WA,Washington,47.942,-121.9924
Curlew Lake,WA,Washington,48.7311,-118.6663
Chain Lake,WA,Washington,47.9038,-121.9861
Pateros,WA,Washington,48.0536,-119.8994
Rosburg,WA,Washington,46.3076,-123.6344
Parkland,WA,Washington,47.1417,-122.4376
Birch Bay,WA,Washington,48.923,-122.7543
Ashford,WA,Washington,46.7537,-122.0113
Navy Yard City,WA,Washington,47.5508,-122.6655
Omak,WA,Washington,48.4228,-119.5159
Farmington,WA,Washington,47.0887,-117.0464
Buckley,WA,Washington,47.1615,-122.02
Cathcart,WA,Washington,47.8525,-122.1058
Poulsbo,WA,Washington,47.7417,-122.6408
Anacortes,WA,Washington,48.4878,-122.6292
Maplewood,WA,Washington,47.3715,-122.5689
Creston,WA,Washington,47.7595,-118.52
Rockford,WA,Washington,47.4513,-117.1307
Wishram,WA,Washington,45.6599,-120.9698
Centralia,WA,Washington,46.7225,-122.9695
South Hill,WA,Washington,47.1203,-122.2848
Longview Heights,WA,Washington,46.1796,-122.9577
Erlands Point-Kitsap Lake,WA,Washington,47.5973,-122.7021
Amboy,WA,Washington,45.9122,-122.4795
St. John,WA,Washington,47.0915,-117.5887
Dallesport,WA,Washington,45.6316,-121.1749
Ketron Island,WA,Washington,47.1569,-122.6343
Mesa,WA,Washington,46.5737,-119.0013
Fife,WA,Washington,47.2328,-122.3518
Moses Lake North,WA,Washington,47.1949,-119.3186
Chewelah,WA,Washington,48.2929,-117.7336
Grayland,WA,Washington,46.8304,-124.0898
Kittitas,WA,Washington,46.9837,-120.4191
Camano,WA,Washington,48.1865,-122.4708
Monroe North,WA,Washington,47.883,-121.9882
North Bonneville,WA,Washington,45.6425,-121.9689
Klickitat,WA,Washington,45.818,-121.1626
Loon Lake,WA,Washington,48.0685,-117.6298
Newport,WA,Washington,48.1788,-117.0545
Mead,WA,Washington,47.7795,-117.35
Cashmere,WA,Washington,47.5175,-120.4671
Aberdeen Gardens,WA,Washington,47.0587,-123.7791
Ocean Shores,WA,Washington,46.9685,-124.1521
Basin City,WA,Washington,46.5891,-119.1567
Wilkeson,WA,Washington,47.1034,-122.0495
Meadow Glade,WA,Washington,45.7524,-122.5614
Arlington Heights,WA,Washington,48.2119,-122.063
Uniontown,WA,Washington,46.5391,-117.0861
Oakesdale,WA,Washington,47.1305,-117.2465
West Side Highway,WA,Washington,46.1841,-122.9178
Conconully,WA,Washington,48.5571,-119.7513
Latah,WA,Washington,47.2822,-117.1557
Elma,WA,Washington,47.0055,-123.4112
Tieton,WA,Washington,46.7026,-120.756
Southworth,WA,Washington,47.5126,-122.5298
Danville,WA,Washington,48.9938,-118.5068
Toppenish,WA,Washington,46.3807,-120.3125
River Road,WA,Washington,48.0677,-123.1276
Geneva,WA,Washington,48.7461,-122.4064
Yakima,WA,Washington,46.5923,-120.5496
Moxee,WA,Washington,46.5638,-120.3968
Edmonds,WA,Washington,47.8114,-122.3533
Kalama,WA,Washington,46.0171,-122.8393
Laurier,WA,Washington,48.9974,-118.2248
Vashon,WA,Washington,47.4122,-122.4726
Country Homes,WA,Washington,47.7478,-117.4197
Darrington,WA,Washington,48.2546,-121.6029
Metaline Falls,WA,Washington,48.8616,-117.3706
Lyle,WA,Washington,45.6956,-121.2805
Cascade Valley,WA,Washington,47.1371,-119.3272
Spangle,WA,Washington,47.4299,-117.3812
Methow,WA,Washington,48.1289,-120.0056
Waterville,WA,Washington,47.648,-120.0707
Lake Roesiger,WA,Washington,47.9839,-121.9129
Milton,WA,Washington,47.2522,-122.3154
Krupp,WA,Washington,47.4105,-118.9886
Alderton,WA,Washington,47.1718,-122.2192
DuPont,WA,Washington,47.1079,-122.6496
Edgewood,WA,Washington,47.2309,-122.2832
North Puyallup,WA,Washington,47.2015,-122.2742
Pacific Beach,WA,Washington,47.215,-124.1967
Manson,WA,Washington,47.8858,-120.1563
Brewster,WA,Washington,48.1034,-119.7751
Battle Ground,WA,Washington,45.7764,-122.5413
Shoreline,WA,Washington,47.7564,-122.3426
Cosmopolis,WA,Washington,46.9541,-123.7725
Airway Heights,WA,Washington,47.6459,-117.5792
Grandview,WA,Washington,46.2431,-119.9084
Inchelium,WA,Washington,48.3378,-118.2372
Grand Coulee,WA,Washington,47.9391,-119.0031
Union,WA,Washington,47.3475,-123.0952
Torboy,WA,Washington,48.6772,-118.6689
Kelso,WA,Washington,46.1248,-122.8909
Westport,WA,Washington,46.8919,-124.112
Junction City,WA,Washington,46.9713,-123.7651
Lake Ketchum,WA,Washington,48.282,-122.348
West Pasco,WA,Washington,46.2497,-119.1684
Des Moines,WA,Washington,47.3914,-122.3154
Davenport,WA,Washington,47.6551,-118.1519
Seattle,WA,Washington,47.6211,-122.3244
Lake Stickney,WA,Washington,47.8709,-122.2596
Carnation,WA,Washington,47.6446,-121.9048
Everett,WA,Washington,47.9524,-122.167
Warden,WA,Washington,46.9674,-119.0522
Palouse,WA,Washington,46.9103,-117.0751
Terrace Heights,WA,Washington,46.6024,-120.4482
Clarkston,WA,Washington,46.4152,-117.0502
Elmer City,WA,Washington,48,-118.9534
Mossyrock,WA,Washington,46.5305,-122.4887
Summit View,WA,Washington,47.1343,-122.3468
Suquamish,WA,Washington,47.7238,-122.583
Newcastle,WA,Washington,47.5303,-122.1633
Stanwood,WA,Washington,48.2451,-122.3426
Kapowsin,WA,Washington,46.9727,-122.2272
Donald,WA,Washington,46.4737,-120.3923
Altoona,WA,Washington,46.2699,-123.6145
South Prairie,WA,Washington,47.1373,-122.094
Eschbach,WA,Washington,46.667,-120.6337
Indianola,WA,Washington,47.7566,-122.5142
Reardan,WA,Washington,47.6698,-117.8778
Cowiche,WA,Washington,46.6729,-120.7154
Sunday Lake,WA,Washington,48.2306,-122.2684
Rocky Point,WA,Washington,47.5882,-122.6668
Burbank,WA,Washington,46.1991,-118.9728
Lakeland North,WA,Washington,47.3374,-122.2814
Granite Falls,WA,Washington,48.0874,-121.9704
Camas,WA,Washington,45.6003,-122.4306
Skokomish,WA,Washington,47.3298,-123.1579
Cusick,WA,Washington,48.3328,-117.2961
Rosalia,WA,Washington,47.2363,-117.3769
Longbranch,WA,Washington,47.2257,-122.7739
Granger,WA,Washington,46.3455,-120.1926
North Fort Lewis,WA,Washington,47.1221,-122.5966
Tampico,WA,Washington,46.5325,-120.8727
Tukwila,WA,Washington,47.4748,-122.2727
Cathlamet,WA,Washington,46.2056,-123.3835
Wenatchee,WA,Washington,47.4338,-120.3286
Port Ludlow,WA,Washington,47.9101,-122.7006
Castle Rock,WA,Washington,46.2717,-122.9057
Glacier,WA,Washington,48.8903,-121.9323
Index,WA,Washington,47.8212,-121.5556
Republic,WA,Washington,48.6477,-118.7326
Bellevue,WA,Washington,47.5953,-122.155
Malo,WA,Washington,48.7997,-118.6119
Anderson Island,WA,Washington,47.1577,-122.7037
University Place,WA,Washington,47.2148,-122.546
Montesano,WA,Washington,47.0102,-123.5858
Rainier,WA,Washington,46.8917,-122.6867
Fords Prairie,WA,Washington,46.7461,-123.0029
Roy,WA,Washington,46.9971,-122.5423
Oso,WA,Washington,48.2836,-121.9237
Marblemount,WA,Washington,48.5378,-121.4346
Elk Plain,WA,Washington,47.0448,-122.3671
Burlington,WA,Washington,48.4677,-122.3298
Bangor Base,WA,Washington,47.7227,-122.7146
Beaux Arts Village,WA,Washington,47.5854,-122.2009
Port Gamble Tribal Community,WA,Washington,47.8487,-122.5571
Olympia,WA,Washington,47.0417,-122.8959
East Wenatchee,WA,Washington,47.4172,-120.2809
Addy,WA,Washington,48.3588,-117.8372
Minnehaha,WA,Washington,45.6577,-122.6204
Bryn Mawr-Skyway,WA,Washington,47.4949,-122.2411
Satsop,WA,Washington,47.0223,-123.4737
Riverbend,WA,Washington,47.4651,-121.7491
Easton,WA,Washington,47.2405,-121.1733
Silverdale,WA,Washington,47.6663,-122.6828
Napavine,WA,Washington,46.5844,-122.9007
Lochsloy,WA,Washington,48.0597,-122.0411
Ellensburg,WA,Washington,46.9994,-120.547
McKenna,WA,Washington,46.9365,-122.55
Fairfield,WA,Washington,47.3848,-117.1748
Northwest Stanwood,WA,Washington,48.2623,-122.3501
Mansfield,WA,Washington,47.8119,-119.638
Duvall,WA,Washington,47.7354,-121.9725
Markham,WA,Washington,46.9155,-123.9814
Waller,WA,Washington,47.2035,-122.3699
Longview,WA,Washington,46.146,-122.963
Richland,WA,Washington,46.2826,-119.2937
Rosedale,WA,Washington,47.3453,-122.6368
Vancouver,WA,Washington,45.6367,-122.597
Bethel,WA,Washington,47.4874,-122.6175
Custer,WA,Washington,48.9143,-122.6397
Lofall,WA,Washington,47.8113,-122.6564
Fairwood,WA,Washington,47.4467,-122.143
Winlock,WA,Washington,46.4907,-122.9342
Sumner,WA,Washington,47.219,-122.2338
Cottage Lake,WA,Washington,47.7466,-122.0755
Puget Island,WA,Washington,46.1742,-123.3829
Woods Creek,WA,Washington,47.8821,-121.8982
Washougal,WA,Washington,45.5812,-122.3433
Sisco Heights,WA,Washington,48.1188,-122.1076
Canterwood,WA,Washington,47.3766,-122.6022
Wapato,WA,Washington,46.4434,-120.4215
Lower Elochoman,WA,Washington,46.2185,-123.3698
Lake Goodwin,WA,Washington,48.1387,-122.2804
Banks Lake South,WA,Washington,47.6315,-119.276
Kent,WA,Washington,47.3887,-122.2128
Bickleton,WA,Washington,46.0056,-120.3081
Ryderwood,WA,Washington,46.375,-123.0441
Cavalero,WA,Washington,47.9845,-122.0746
La Conner,WA,Washington,48.3925,-122.4945
Martha Lake,WA,Washington,47.848,-122.2326
George,WA,Washington,47.0845,-119.8598
